Date,Open,High,Low,Close,Adj Close,Volume
1992-02-01,9.125000,9.125000,7.500000,7.750000,4.618991,26015400
1992-03-01,7.625000,7.937500,6.750000,7.125000,4.246488,3734000
1992-04-01,7.062500,7.562500,5.625000,6.687500,3.985742,6863400
1992-05-01,6.937500,6.937500,5.812500,6.437500,3.836742,44334200
1992-06-01,6.375000,6.437500,5.687500,6.375000,3.799491,35335200
1992-07-01,6.500000,7.062500,6.062500,6.937500,4.134741,22983600
1992-08-01,7.000000,7.250000,6.250000,6.750000,4.022992,20925400
1992-09-01,6.625000,7.250000,6.625000,7.000000,4.171991,11932400
1992-10-01,7.000000,8.625000,6.437500,8.437500,5.028738,31079200
1992-11-01,8.375000,9.625000,8.187500,9.437500,5.624738,43633400
1992-12-01,9.375000,10.062500,8.687500,9.875000,5.885488,25368400
1993-01-01,10.062500,10.750000,9.500000,10.187500,6.071735,32362600
1993-02-01,10.250000,11.375000,8.875000,9.437500,5.624738,29088000
1993-03-01,9.562500,11.000000,9.375000,10.750000,6.406984,24178800
1993-04-01,10.687500,10.687500,8.687500,9.875000,5.885488,21617400
1993-05-01,10.000000,12.500000,9.500000,11.500000,6.853981,32836600
1993-06-01,11.500000,12.250000,10.375000,11.937500,7.114735,16279000
1993-07-01,12.000000,12.500000,10.812500,11.500000,6.853981,22927400
1993-08-01,11.375000,11.750000,9.875000,10.187500,6.071735,32363200
1993-09-01,10.375000,10.687500,9.187500,9.687500,5.773737,44960800
1993-10-01,9.562500,10.375000,9.000000,9.875000,5.885488,46659400
1993-11-01,9.875000,11.125000,9.625000,10.937500,6.518736,23922200
1993-12-01,10.937500,11.062500,9.812500,10.375000,6.183483,16841400
1994-01-01,10.937500,11.562500,10.250000,10.937500,6.518736,29223400
1994-02-01,11.000000,12.625000,10.562500,11.937500,7.114735,31201800
1994-03-01,12.000000,12.500000,10.625000,11.000000,6.555985,28557600
1994-04-01,11.000000,12.125000,10.375000,10.687500,6.369737,20397800
